Date,Gas Price,Gallons,Fill-up Price,Miles Before Fill-up,Miles/Gallon,Days Interval,Miles to Empty,Miles Left
2/26/2016,2.00 ,13.221,26.43 ,417.2,31.56,0,,
3/18/2016,2.34 ,12.727,29.77 ,385.1,30.26,21,,
3/21/2016,2.90 ,10.302,29.87 ,311.7,30.26,3,,
3/22/2016,2.43 ,8.506,20.66 ,287.6,33.81,1,,
3/23/2016,2.08 ,10.823,22.50 ,415.3,38.37,1,,
3/24/2016,2.54 ,13.714,34.82 ,537.1,39.16,1,,
3/30/2016,2.48 ,13.122,32.53 ,473.1,36.05,6,,
4/16/2016,3.00 ,12.825,38.46 ,403.8,31.49,17,,
5/2/2016,2.44 ,12.267,29.92 ,422.6,34.45,16,,
5/16/2016,2.48 ,12.108,30.02 ,417.7,34.5,14,,
6/1/2016,2.54 ,13.418,34.07 ,444.2,33.1,16,,89
6/27/2016,2.58 ,12.144,31.32 ,420.8,34.65,26,,89
7/11/2016,2.56 ,12.122,31.02 ,420,34.65,14,,87
8/3/2016,2.16 ,13.152,28.40 ,450.5,34.25,23,541,87
8/15/2016,2.30 ,13.114,30.15 ,487.4,37.17,12,,
9/11/2016,2.46 ,12.834,31.56 ,428.6,33.4,27,,
10/10/2016,2.46 ,12.989,31.94 ,428.9,33.02,29,,
10/30/2016,2.80 ,12.256,34.30 ,480,39.16,20,,
12/27/2016,2.36 ,11.37,26.82 ,378.5,33.29,58,,
1/28/2017,2.50 ,13.097,32.73 ,398.9,30.46,32,522,
3/14/2017,2.68 ,11.806,31.63 ,366.9,31.08,45,516,
3/29/2017,2.64 ,12.04,31.77 ,396.9,32.97,15,517,
4/21/2017,2.70 ,11.347,30.63 ,352,31.02,23,514,
5/15/2017,2.68 ,13.164,35.27 ,413.8,31.43,24,513,
6/2/2017,2.88 ,12.967,37.33 ,453.2,34.95,18,518,
6/29/2017,2.66 ,13.099,34.83 ,409.7,31.28,27,,
7/17/2017,2.70 ,12.452,33.61 ,245.3,19.7,18,515,
8/8/2017,2.68 ,12.353,33.09 ,387.5,31.37,22,,
9/4/2017,3.20 ,12.213,39.07 ,414.4,33.93,27,,
10/10/2017,2.76 ,12.007,33.13 ,356.8,29.72,36,501,
11/7/2017,2.93 ,12.4,36.32 ,412.1,33.23,28,501,
12/5/2017,2.84 ,12.287,34.88 ,380.2,30.94,28,498,
12/22/2017,2.78 ,10.511,29.21 ,328.8,31.28,17,496,
1/12/2018,2.88 ,13.016,37.47 ,352.5,27.08,21,487,
2/13/2018,2.99 ,13.092,39.15 ,411.5,31.43,32,487,30
3/3/2018,2.98 ,12.588,37.50 ,375.1,29.8,18,484,48
3/22/2018,3.10 ,12.725,39.43 ,397.9,31.27,19,485,40
4/13/2018,3.20 ,12.82,41.01 ,383.8,29.94,22,484,48
5/4/2018,3.30 ,12.312,40.62 ,376.3,30.56,21,485,66
5/22/2018,3.40 ,12.478,42.41 ,408.4,32.73,18,490,54
6/13/2018,3.36 ,12.173,40.89 ,379.2,31.15,22,488,63
7/6/2018,3.30 ,12.507,41.26 ,381.1,30.47,23,486,51
7/31/2018,3.28 ,12.623,41.39 ,386,30.58,25,484,47
8/21/2018,3.20 ,12.828,41.04 ,391.9,30.55,21,483,43
9/11/2018,3.24 ,12.306,39.86 ,388,31.53,21,484,59
10/3/2018,3.34 ,12.287,41.03 ,382.1,31.1,22,486,63
10/19/2018,3.44 ,11.91,40.96 ,378,31.74,16,489,76
11/7/2018,3.23 ,12.399,40.04 ,390.1,31.46,19,491,63
11/16/2018,3.20 ,6.913,22.11 ,251.6,36.4,9,496,232
12/8/2018,3.06 ,12.687,38.81 ,389.2,30.68,22,499,48
12/27/2018,3.00 ,12.078,36.22 ,344.6,28.53,19,487,65
1/11/2019,3.00 ,10.36,31.07 ,294,28.38,15,479,122
1/25/2019,2.90 ,11.014,31.93 ,385.5,35,14,485,56
2/8/2019,3.16 ,12.603,39.81 ,331.9,26.33,14,474,70
2/26/2019,2.90 ,12.177,35.30 ,337.1,27.68,18,475,59
3/13/2019,3.06 ,11.869,36.31 ,360,30.33,15,476,64
4/2/2019,3.36 ,11.824,39.72 ,355.6,30.07,20,478,72
4/18/2019,3.60 ,12.855,46.27 ,402,31.27,16,483,47
5/7/2019,3.76 ,13.027,48.97 ,420.7,32.29,19,488,42
5/21/2019,3.76 ,12.003,45.12 ,401.6,33.46,14,493,75
6/25/2019,3.46 ,10.975,37.96 ,338.8,30.87,35,489,105
7/16/2019,3.38 ,13.291,44.91 ,418.6,31.49,21,492,29
8/6/2019,3.20 ,12.481,39.93 ,391.4,31.36,21,496,66
8/23/2019,3.16 ,12.403,39.18 ,394.9,31.84,17,494,59
